"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ken,Australia,One-Bedroom Luxury Suite,3 nights,"
June","2022
", 8.0 ,Location great staff great,Trouble with wifi couldnâ€™t be resolved,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Zoe,United Kingdom,Two-Bedroom Luxury Suite,3 nights,"
June","2022
", 9.0 ,beautiful rooms and beautiful views from 31 floor.,"We could only reach our room from one lift which was infuriating when we had to stop at numerous floors for others all the time. 
There was underwear from previous guests left under the bed.
We asked  room service for extra rowels which never came",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Letka,Australia,Studio Luxury Suite,3 nights,"
June","2022
", 10 ,Location excellent had everything that I requested easy to talk to staff and they greeted us with the biggest smile and very polite they go out off their way to attend to our needs Will be definitely coming back there. We came there to celebrate our anniversary  and we would like to say a very big Thank you to the staff that left a bottle of champagne for us we enjoyed it very much what a great surprise . I cant praise and thank yous enough  for going above and beyond. THANK YOU ðŸ˜Š THANK YOU EVERYONEðŸ’–ðŸ’–ðŸ’–,Theirs nothing we didn't like.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Alexandra,Australia,Studio Luxury Suite,3 nights,"
June","2022
", 9.0 ,"Beautiful hotel. Lobby smelt amazing!! 
Large room with everything we needed.",Having to ask for more ammenities.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Rowley,Australia,One-Bedroom Suite - Disability Access,1 night,"
June","2022
", 9.0 ,"Arrived early and asked to leave bags while we looked around reception said our room was ready so we where allowed to occupy 2 hours early, which was very convenient for us after a 3 hour train trip.",Maybe some milk in the fridge for coffee would have been good. And as the rooms are are set up with extra bedrooms that are locked if you do not pay for them you need to turn the lights off in these rooms they had light showing under the doors through the night,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Marco,Australia,Two-Bedroom Luxury Suite,3 nights,"
April","2022
", 8.0 ,Great place and great location. I like the space and privacy in the apartment.,"Our room was ready only at 16h30. BUT, they were very apologetic and gave us a $50 reduction and a bottle of wine to say sorry. They tried their best to keep us happy and I like that about them.",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Francesco,Australia,Studio Luxury Suite,2 nights,"
June","2022
", 9.0 ,The upgrade was great,There wasnt a carpark,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,David,Australia,Studio Luxury Suite,2 nights,"
June","2022
", 9.0 ,None,Netflix :(,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Jodie,Australia,Two-Bedroom Luxury Suite,1 night,"
June","2022
", 9.0 ,Beautiful and very well presented.,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ella,Australia,Studio Luxury Suite,1 night,"
June","2022
", 8.0 ,Easy and convenient. Really great rooms for what you are paying for. Staff were lovely and helpful. Great options for TV watching and Wifi.,Had to pay an extremely over the top amount for parking as the hotel doesn't have any parking of its own so left with the only option to pay for overpriced public parking. Also had a slight issue with the drainage in the shower - couldn't have it on all the way or it would overflow...,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Pam,Australia,One-Bedroom Luxury Suite,2 nights,"
June","2022
", 10 ,"The Meriton appartments are always modern, clean, spacious and comfortable",no parking,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Nora,Australia,Three-Bedroom Darling Suite,1 night,"
June","2022
", 10 ,"Nice view , very good room , clean & tidy.  Friendly staff.",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Gibb,Australia,Studio Luxury Suite,2 nights,"
June","2022
", 8.0 ,The location of the hotel was amazing and the staff were brilliant. The only thing I can fault is the cleanliness upon arrival. There was hair on the pillows and in the shower drain but these are very minor things that were taken care of immediately after I spoke to staff.,It could have been a tiny bit cleaner but nothing major.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Catherine,Australia,One-Bedroom Luxury Suite,4 nights,"
June","2022
", 9.0 ,"Location, room furnishing, quietness and cleanliness - fantastic","no milk provision in fridge upon arrival = had to contact reception for milk for first cuppa after a long journey - would recommend having 1 in fridge for guest arrival.
Couldn't find hair dryer on first morning.  later after contacting reception to have one sent up for following morning was told it is behind bathroom mirror - recommend a sticker on mirror ""dryer in in this cabinet"" or similar.
I had forgotten to pack toothbrush and ear buds- discovered late at night and didnt want to go out in the cold to buy provisions so had chewing to brush my teeth. LOL  After opening cabinet for the hairdryer I saw the sticker saying contact reception for amenities pack containing dental supplies. I did this but bag had toilet paper and tissues (which I didn't need) some more body and hair wash creams but no dental or ear cleaning buds LOL.  I recommend having the dental and earbuds in the cabinet to start with. :)",en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Maria,Australia,Two-Bedroom Luxury Suite,3 nights,"
June","2022
", 10 ,fantastic location,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sarah,Australia,Two-Bedroom Luxury Suite,3 nights,"
June","2022
", 8.0 ,Staff were friendly with great service. Beds were so comfortable. Location was great,No noise reduction. The shower pressure wasn't great considering the price but other facilities were good,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Claudio,Australia,One-Bedroom Suite - Disability Access,1 night,"
June","2022
", 10 ,"The location is perfect, very close to Darling Harbour and 2 blocks from tram and Town Hall train station. The customer service provided by Isabella was five star, very friendly and helpful.",Liked everything,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kimberly,United Kingdom,One-Bedroom Luxury Suite,2 nights,"
May","2022
", 8.0 ,"perfect location, very clean, good facilities and friendly staff!",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sharon,Australia,One Bedroom Darling Suite,3 nights,"
June","2022
", 10 ,"great location, lots of space in the apartment",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Breanna,Australia,Two-Bedroom Luxury Suite,2 nights,"
June","2022
", 10 ,The view and the size of the room was amazing. Having two bathrooms and a lounge room made our stay very comfortable.,The pool area needed to be cleaned and the towels restocked.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sal1393,Australia,Studio Luxury Suite,2 nights,"
May","2022
", 9.0 ,"Comfortable large room, quiet, excellent facilities (pool, spa, sauna), luggage storage on arrival, excellent customer service",Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Benjamin,Australia,One-Bedroom Luxury Suite,1 night,"
June","2022
", 8.0 ,Great value for money,Being picky but cushion couches were a bit weathered and stained from use.,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Gillian,Australia,Studio Luxury Suite,3 nights,"
June","2022
", 9.0 ,"The room was spacious, with excellent decor. The Location was great, and walking distance to the CBD, light rail and Darling Harbour.",There is no mirror in the room apart from the wardrobe's sliding doors which are smoked and impossible to see in properly especially for putting on makeup. There was no milk supplied.,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Jytte,Australia,Studio Luxury Suite,2 nights,"
June","2022
", 10 ,location room spacious great kitchen facilities if you choose to use them I love staying at the Meriton,nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Helene,Belgium,One-Bedroom Luxury Suite,5 nights,"
June","2022
", 9.0 ,"Refurbished, comfy and stylish apartments.
Great amenities and location",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Zihui,Australia,One Bedroom Darling Suite,2 nights,"
June","2022
", 8.0 ,None,Checking in take more than 20 minutes,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Annabel,Australia,Studio Luxury Suite,4 nights,"
May","2022
", 8.0 ,Loved the proximaty to both Darling Harbour & the CBD,Hubby hated the bed,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Barry,Canada,Two-Bedroom Luxury Suite,3 nights,"
May","2022
", 9.0 ,"Great apartment hotel. Stayed in a 2 bedroom unit. Full kitchen was nice. Beds really comfortable.
Great location for exploring Sydney.",Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Shania,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,The staff that checked me in were lovely!,I wish there was a better parking option,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Scott,Australia,Studio Luxury Suite,2 nights,"
May","2022
", 9.0 ,Lovely clean and very convenient hotel with all amenities available.,We didn’t have a floor mat but wasn’t a concern.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Shauna,Australia,One-Bedroom Luxury Suite,2 nights,"
May","2022
", 10 ,All great but asked for a high floor with a view and balcony before I booked and didn't get one the first night but had to move for one night.,"Partner disliked the bed in our moved room, first bed he said was great, but second bed was terrible. I didn't find any difference though",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Bryan,Australia,One Bedroom Darling Suite,7 nights,"
May","2022
", 8.0 ,The position & size of the unit were great,We stayed a week & there was no cleaning in that time We could ask for towels etc & they got delivered but we felt there should have been some service during that time maybe after 3 days Rubbish was left in the corridors for several day&.  The Cordero’s were not cleaned either,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Shereen,Sri Lanka,Studio Luxury Suite,4 nights,"
May","2022
", 10 ,location,everything was good,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Alyssa,Australia,One-Bedroom Luxury Suite,2 nights,"
May","2022
", 9.0 ,how close the property was to everything just a 10 minute walk to everything,there was only one 150ml milk in the fridge for two people for 2 nights.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Peta,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 9.0 ,"Exceptional staff, great location, clean & tidy room.",Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ashlyn,Australia,Studio Luxury Suite,2 nights,"
May","2022
", 8.0 ,"Loved the location! Staff were pleasant upon check in, room was clean and had everything we needed!",only downfall was there was no bath mat and some amenities missing in the bathroom,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kristie,Australia,One-Bedroom Suite - Disability Access,2 nights,"
May","2022
", 10 ,"front of house staff so helpful 
location amazing 
I stay here every time I’m in the city",I miss having daily house clean due to covid,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Annette,Australia,One-Bedroom Suite - Disability Access,4 nights,"
May","2022
", 9.0 ,Location was good. Apartments were spacious and comfortable.,The bed sheets are annoying when they do not fully reach and tuck in at the bottom.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Diana,Australia,Two-Bedroom Luxury Suite,1 night,"
May","2022
", 10 ,"Fantastic room,  great views.","Check in times way too late and then having to check out early, Definitely didn't get the value of the suite. Staff didn't let us know about other areas in the building that we could use if any ( e.g pool?)",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Veronika,Australia,One-Bedroom Luxury Suite,2 nights,"
May","2022
", 9.0 ,"The apartment was spacious and clean. It’s very well situated, 3 minute walk from Darling Harbour.","There was no cleaning service. For the price we paid I didn’t quite like the views. I would also expect to have some milk for your coffee and tea as a courtesy of the hotel, but there was none.",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Trinity,Australia,One-Bedroom Luxury Suite,1 night,"
May","2022
", 8.0 ,"It was definitely a home away from home , we were super comfortable our son loved watching the boast in darling habour from our bed , we loved everything about it we didnâ€™t want to go home ðŸ˜Š",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Scott,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,None,No milk in fridge for coffee,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Nathan,Australia,One-Bedroom Luxury Suite,1 night,"
May","2022
", 10 ,was amazing,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Lorena,Australia,One-Bedroom Luxury Suite,1 night,"
May","2022
", 10 ,Will definitely be coming back. thank you,None,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kris,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 9.0 ,Great stay would stay again .,They could of supplied bath mats .,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Allen,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 10 ,No breakfast provided. Location goodvand unit excellent.,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Swan,Australia,One-Bedroom Suite - Disability Access,3 nights,"
May","2022
", 10 ,"Everything! The room, the facilities, the location, everything was perfect",Nothing.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Madeline,Australia,Two-Bedroom Luxury Suite,1 night,"
May","2022
", 10 ,Everything the room was so nice,Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Daniel,Australia,One Bedroom Darling Suite,2 nights,"
May","2022
", 10 ,great,everything was perfect,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Alexandra,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,"convenient location, friendly staff, room was spacious.",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Madison,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,"so clean, quiet and comfy! beautiful room",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sophia,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,The soaps and how big the bed was.,No bath mats. Small shower.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Chris,Australia,One-Bedroom Luxury Suite,2 nights,"
April","2022
", 10 ,N/A,N/A,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sienna,Australia,Studio Luxury Suite,2 nights,"
May","2022
", 10 ,very clean and close to everything,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Jesselynn,Australia,Studio Luxury Suite,7 nights,"
May","2022
", 9.0 ,The staff were all friendly and extremely helpful,Would have loved a room with a view but can’t complain as we were treated so well,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Jennifer,Australia,Studio Luxury Suite,1 night,"
May","2022
", 8.0 ,great room size,shower wasn’t very clean and found hairs on bed and pillows,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Maria,United Kingdom,Studio Luxury Suite,1 night,"
May","2022
", 9.0 ,"Comfortable, great staff, clean and perfect central location",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ronald,Australia,Studio Luxury Suite,1 night,"
April","2022
", 10 ,CleN and tidy,All good,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Karen,Australia,One-Bedroom Suite - Disability Access,1 night,"
May","2022
", 8.0 ,location perfect,very disappointed in parking costs.. feel the Meriton could have given us advice that parking where they recommended was going to cost so much ..,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Elizabeth,Australia,Two-Bedroom Luxury Suite,2 nights,"
May","2022
", 10 ,"Walking distance to everything  , comfy beds and rooms are so spacious",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Steph,Australia,One-Bedroom Luxury Suite,3 nights,"
May","2022
", 10 ,"Extremely clean, great location!",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Bridget,Australia,One-Bedroom Suite - Disability Access,4 nights,"
April","2022
", 8.0 ,None,The shower in our room caused a major part of the bathroom floor to be wet.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Chris,Australia,One-Bedroom Suite - Disability Access,2 nights,"
May","2022
", 10 ,"The room was large, comfortable and clean. Central loaction to the centre of twon and Darling Harbour. The staff went out of their way to make our stay very special. ig thankyou to Brook and Matt.",No negatives it was all good,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Alveena,Australia,One-Bedroom Suite - Disability Access,1 night,"
May","2022
", 8.0 ,None,The only thing I didn’t like was that when I booked my room through booking.com it didn’t mention that I’ll be getting a disabled room.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Michael,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 10 ,it was beautiful and very close to Darling Harbour,nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Rosa,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 10 ,amazing services,None,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Victor,Australia,Two-Bedroom Luxury Suite,2 nights,"
May","2022
", 9.0 ,None,Pool was a little cold only fault. Rest was brilliant. Staff were fantastic,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Helen,Australia,Studio Luxury Suite,4 nights,"
May","2022
", 8.0 ,Great location. Close to Darling Harbour and lots of restaurants. Would definitely stay again,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Tejraj,Australia,Two-Bedroom Luxury Suite,6 nights,"
May","2022
", 10 ,"Location, the design of the apartment.",None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Mark,United Kingdom,Studio Luxury Suite,2 nights,"
May","2022
", 10 ,"Location, room comfort and facilities, pool, extremely helpful staff. We arrived very early and were able to check in 9 hours early.",Nothing much. The desk was the wrong height for the office chair so working was not optimal.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sandy,Australia,One-Bedroom Luxury Suite,6 nights,"
May","2022
", 10 ,"Great location. Clean, comfortable, great wifi, helpful staff",Bathroom sink slow to drain,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Gaurav,India,One-Bedroom Luxury Suite,4 nights,"
May","2022
", 8.0 ,location,no housekeeping,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Gregory,Australia,Studio Luxury Suite,2 nights,"
March","2022
", 9.0 ,great location and clean facilities,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kate,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,"The property is beautiful, with high quality finishes and products. Every detail has been considered. Sammie at Reception was lovely - thorough, kind, helpful and generous. We’re so grateful for high quality service.","One of our room types was on a lower floor, however on the Meriton website this is clearly communicated, so we can pick a room type on a higher floor for a view next time.",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kim,United Kingdom,Studio Luxury Suite,7 nights,"
May","2022
", 10 ,The property had everything you needed for a short stay. It was so well placed for Darling Harbour and the CBD. Staff were lovely and very helpful,Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Fabian,United Kingdom,One-Bedroom Suite - Disability Access,3 nights,"
April","2022
", 9.0 ,"The spa and jacuzzi facilities were very nice addition to our stay, also the fact travelers can only access the floors they are authorised to go (where your apartment is and where the swimming pool facilities are)",Nothing particular,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kay,Australia,One Bedroom Darling Suite,3 nights,"
May","2022
", 10 ,"Location and view was fantastic, staff were extremely helpful and knowledgeable",Nothing,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Lauren,Australia,Studio Luxury Suite,1 night,"
May","2022
", 10 ,I loved the style and space of the room. It was very homely.,"I didn’t like the sheets on the bed they were very rough. 
But otherwise the room was perfect.",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Joan,United States,Studio Luxury Suite,4 nights,"
May","2022
", 8.0 ,"The concierge Oscar was efficient, friendly and professional as was the Front Office clerk who kindly extended our check out time.",Hard floor surfaces.,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,思宇,Australia,Studio Luxury Suite,15 nights,"
May","2022
", 10 ,Great location and good security,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Fiona,Australia,Two-Bedroom Luxury Suite,4 nights,"
May","2022
", 8.0 ,"Location
Quality and cleanliness of suites.","Key card would stop working, and need to be fixed at reception.
Staff not welcoming",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Mike,Australia,One Bedroom Darling Suite,3 nights,"
March","2022
", 8.0 ,Clean & comfortable.,No in house breakfast or restaurant.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Loz,Australia,Studio Luxury Suite,2 nights,"
May","2022
", 8.0 ,Clean and great location,"The no parking and no option for parking is a pain. I saw another guest be offered another option for parking because they complained, I didn't complain so I wasn't offered any solution just told to book on the app, parking cost a further $120 for the weekend which is a joke. I wasn't going to hassle the poor staff (who are fantastic btw) because as a business the Meriton Sussex St aren't offering sensible solutions to their guests",en
